,open_USD,high_USD,low_USD,close_USD,volume
2020-07-20,9208.99,9221.52,9131.0,9160.78,35458
2020-07-19,9170.3,9232.27,9101.35,9208.99,26052
2020-07-18,9154.31,9219.3,9121.1,9170.28,22554
2020-07-17,9133.72,9186.83,9089.81,9154.32,28054
2020-07-16,9197.6,9226.15,9047.25,9133.72,43375
2020-07-15,9255.85,9276.49,9160.57,9197.6,39053
2020-07-14,9242.61,9279.54,9113.0,9255.85,45772
2020-07-13,9303.31,9343.82,9200.89,9242.62,42740
2020-07-12,9234.02,9345.0,9157.5,9302.75,30872
2020-07-11,9288.34,9299.28,9178.25,9234.03,22561
2020-07-10,9232.42,9317.48,9125.0,9288.34,38295
2020-07-09,9436.06,9440.79,9160.0,9232.43,48044
2020-07-08,9257.4,9470.0,9231.0,9436.06,56140
2020-07-07,9342.47,9379.42,9203.0,9257.39,34587
2020-07-06,9069.41,9375.0,9055.92,9344.2,54463
2020-07-05,9135.0,9145.24,8893.03,9069.41,34073
2020-07-04,9057.79,9190.0,9040.04,9135.46,26441
2020-07-03,9086.54,9125.0,9037.47,9058.26,28943
2020-07-02,9231.99,9261.96,8940.0,9086.54,45725
2020-07-01,9138.08,9292.0,9080.1,9232.0,38488
2020-06-30,9192.93,9205.0,9064.89,9138.55,31463
2020-06-29,9116.16,9238.0,9024.67,9192.56,42120
2020-06-28,9012.0,9191.0,8948.06,9116.35,30688
2020-06-27,9162.21,9196.24,8833.0,9012.0,46290
2020-06-26,9249.49,9298.0,9045.45,9162.21,50292
2020-06-25,9298.33,9340.0,9009.69,9249.49,55831
2020-06-24,9624.33,9670.0,9208.0,9296.49,61571
2020-06-23,9685.69,9720.0,9577.03,9624.89,41031
2020-06-22,9294.69,9780.0,9277.09,9685.69,57895
2020-06-21,9358.95,9422.0,9281.54,9294.69,24316
2020-06-20,9310.23,9395.0,9170.95,9358.95,30329
2020-06-19,9386.32,9438.3,9215.79,9310.23,45330
2020-06-18,9465.13,9489.0,9280.0,9386.32,37381
2020-06-17,9526.97,9565.0,9236.61,9465.14,48046
2020-06-16,9426.05,9589.0,9373.09,9525.59,52052
2020-06-15,9342.1,9495.0,8910.45,9426.02,86107
2020-06-14,9473.34,9480.99,9245.0,9342.1,30055
2020-06-13,9464.96,9494.73,9351.0,9473.34,27759
2020-06-12,9278.88,9557.12,9232.51,9465.13,50119
2020-06-11,9885.22,9964.0,9113.0,9280.4,94418
2020-06-10,9772.44,9992.72,9704.18,9885.0,47130
2020-06-09,9782.0,9877.0,9570.0,9772.43,46024
2020-06-08,9746.99,9800.0,9633.0,9782.01,40664
2020-06-07,9666.85,9802.0,9372.46,9746.99,57952
2020-06-06,9621.17,9735.0,9531.05,9666.3,32752
2020-06-05,9788.14,9854.75,9581.0,9621.16,47788
2020-06-04,9666.32,9881.63,9450.0,9789.06,57456
2020-06-03,9518.02,9690.0,9365.21,9666.24,46252
2020-06-02,10202.71,10228.99,9266.0,9518.04,108970
2020-06-01,9448.27,10380.0,9421.67,10200.77,76649
2020-05-31,9697.72,9700.0,9381.41,9448.27,48333
2020-05-30,9426.6,9740.0,9331.23,9697.72,55665
2020-05-29,9575.87,9605.26,9330.0,9427.07,57374
2020-05-28,9204.07,9625.47,9110.0,9575.89,74110
2020-05-27,8841.0,9225.0,8811.73,9204.07,68910
2020-05-26,8900.35,9017.67,8700.0,8841.18,58299
