Valor,Fecha
27804.666666666668,2017-01-15T00:00:00Z
25455.5,2017-01-15T01:00:00Z
23719.166666666668,2017-01-15T02:00:00Z
22769.833333333332,2017-01-15T03:00:00Z
22335.833333333332,2017-01-15T04:00:00Z
22219.833333333332,2017-01-15T05:00:00Z
22551.666666666668,2017-01-15T06:00:00Z
23442.666666666668,2017-01-15T07:00:00Z
24165.833333333332,2017-01-15T08:00:00Z
26154.166666666668,2017-01-15T09:00:00Z
28687.833333333332,2017-01-15T10:00:00Z
29718.833333333332,2017-01-15T11:00:00Z
29749.5,2017-01-15T12:00:00Z
29917,2017-01-15T13:00:00Z
29951.333333333332,2017-01-15T14:00:00Z
28586.166666666668,2017-01-15T15:00:00Z
27925.666666666668,2017-01-15T16:00:00Z
27832.666666666668,2017-01-15T17:00:00Z
30071.833333333332,2017-01-15T18:00:00Z
32328,2017-01-15T19:00:00Z
33612.833333333336,2017-01-15T20:00:00Z
33801.5,2017-01-15T21:00:00Z
32783.166666666664,2017-01-15T22:00:00Z
30135.166666666668,2017-01-15T23:00:00Z
27271,2017-01-16T00:00:00Z
25017.5,2017-01-16T01:00:00Z
23639.5,2017-01-16T02:00:00Z
23173.333333333332,2017-01-16T03:00:00Z
22913.666666666668,2017-01-16T04:00:00Z
23599.333333333332,2017-01-16T05:00:00Z
26629.833333333332,2017-01-16T06:00:00Z
31886.833333333332,2017-01-16T07:00:00Z
35810.666666666664,2017-01-16T08:00:00Z
37099.5,2017-01-16T09:00:00Z
37719.666666666664,2017-01-16T10:00:00Z
37215.5,2017-01-16T11:00:00Z
36664,2017-01-16T12:00:00Z
36568.666666666664,2017-01-16T13:00:00Z
35466.833333333336,2017-01-16T14:00:00Z
34785.333333333336,2017-01-16T15:00:00Z
34619.333333333336,2017-01-16T16:00:00Z
34751.666666666664,2017-01-16T17:00:00Z
36608.833333333336,2017-01-16T18:00:00Z
38163.166666666664,2017-01-16T19:00:00Z
38461.666666666664,2017-01-16T20:00:00Z
37823.333333333336,2017-01-16T21:00:00Z
34992.833333333336,2017-01-16T22:00:00Z
31491.166666666668,2017-01-16T23:00:00Z
28908,2017-01-17T00:00:00Z
26573.666666666668,2017-01-17T01:00:00Z
25231.833333333332,2017-01-17T02:00:00Z
24840.833333333332,2017-01-17T03:00:00Z
24704.166666666668,2017-01-17T04:00:00Z
25187,2017-01-17T05:00:00Z
27560.666666666668,2017-01-17T06:00:00Z
32444.5,2017-01-17T07:00:00Z
35939.166666666664,2017-01-17T08:00:00Z
37041.166666666664,2017-01-17T09:00:00Z
37867.166666666664,2017-01-17T10:00:00Z
37643.833333333336,2017-01-17T11:00:00Z
37217.166666666664,2017-01-17T12:00:00Z
37077.666666666664,2017-01-17T13:00:00Z
35710.333333333336,2017-01-17T14:00:00Z
35353.833333333336,2017-01-17T15:00:00Z
35345.666666666664,2017-01-17T16:00:00Z
35664.166666666664,2017-01-17T17:00:00Z
37563,2017-01-17T18:00:00Z
39582,2017-01-17T19:00:00Z
39847.166666666664,2017-01-17T20:00:00Z
39170.833333333336,2017-01-17T21:00:00Z
36413.333333333336,2017-01-17T22:00:00Z
32722.5,2017-01-17T23:00:00Z
29752.333333333332,2017-01-18T00:00:00Z
27488.666666666668,2017-01-18T01:00:00Z
26002.166666666668,2017-01-18T02:00:00Z
25553.5,2017-01-18T03:00:00Z
25413.333333333332,2017-01-18T04:00:00Z
25916.666666666668,2017-01-18T05:00:00Z
28352.333333333332,2017-01-18T06:00:00Z
33358.333333333336,2017-01-18T07:00:00Z
37435.833333333336,2017-01-18T08:00:00Z
39016.666666666664,2017-01-18T09:00:00Z
39802.166666666664,2017-01-18T10:00:00Z
39912.5,2017-01-18T11:00:00Z
39669.166666666664,2017-01-18T12:00:00Z
39570.5,2017-01-18T13:00:00Z
38333.5,2017-01-18T14:00:00Z
37826.666666666664,2017-01-18T15:00:00Z
37634.5,2017-01-18T16:00:00Z
38004.333333333336,2017-01-18T17:00:00Z
39603,2017-01-18T18:00:00Z
40908,2017-01-18T19:00:00Z
41073.666666666664,2017-01-18T20:00:00Z
39889.666666666664,2017-01-18T21:00:00Z
36845.5,2017-01-18T22:00:00Z
33364.666666666664,2017-01-18T23:00:00Z
30279.833333333332,2017-01-19T00:00:00Z
27840,2017-01-19T01:00:00Z
26319.833333333332,2017-01-19T02:00:00Z
25789.166666666668,2017-01-19T03:00:00Z
25650.333333333332,2017-01-19T04:00:00Z
26201,2017-01-19T05:00:00Z
28595.5,2017-01-19T06:00:00Z
33483.833333333336,2017-01-19T07:00:00Z
37351.5,2017-01-19T08:00:00Z
38790.333333333336,2017-01-19T09:00:00Z
39913.5,2017-01-19T10:00:00Z
40257.166666666664,2017-01-19T11:00:00Z
40100.666666666664,2017-01-19T12:00:00Z
40128.166666666664,2017-01-19T13:00:00Z
38951,2017-01-19T14:00:00Z
38318.666666666664,2017-01-19T15:00:00Z
38107.666666666664,2017-01-19T16:00:00Z
38531.833333333336,2017-01-19T17:00:00Z
39745.833333333336,2017-01-19T18:00:00Z
40903.833333333336,2017-01-19T19:00:00Z
40931.166666666664,2017-01-19T20:00:00Z
40069.833333333336,2017-01-19T21:00:00Z
37320.833333333336,2017-01-19T22:00:00Z
33772.333333333336,2017-01-19T23:00:00Z
30850.166666666668,2017-01-20T00:00:00Z
28382.5,2017-01-20T01:00:00Z
26898.833333333332,2017-01-20T02:00:00Z
26242.833333333332,2017-01-20T03:00:00Z
26063.666666666668,2017-01-20T04:00:00Z
26471.166666666668,2017-01-20T05:00:00Z
28937.666666666668,2017-01-20T06:00:00Z
33831.833333333336,2017-01-20T07:00:00Z
37340.166666666664,2017-01-20T08:00:00Z
38947.333333333336,2017-01-20T09:00:00Z
39970.333333333336,2017-01-20T10:00:00Z
40142,2017-01-20T11:00:00Z
39730.833333333336,2017-01-20T12:00:00Z
39373.666666666664,2017-01-20T13:00:00Z
37920.5,2017-01-20T14:00:00Z
37108,2017-01-20T15:00:00Z
36724.166666666664,2017-01-20T16:00:00Z
36714.666666666664,2017-01-20T17:00:00Z
37876.666666666664,2017-01-20T18:00:00Z
39078.833333333336,2017-01-20T19:00:00Z
38830.333333333336,2017-01-20T20:00:00Z
38109.5,2017-01-20T21:00:00Z
35603.333333333336,2017-01-20T22:00:00Z
32861.166666666664,2017-01-20T23:00:00Z
30259.166666666668,2017-01-21T00:00:00Z
27917.833333333332,2017-01-21T01:00:00Z
26107.5,2017-01-21T02:00:00Z
25092,2017-01-21T03:00:00Z
24441.833333333332,2017-01-21T04:00:00Z
24400.666666666668,2017-01-21T05:00:00Z
24725,2017-01-21T06:00:00Z
26268.5,2017-01-21T07:00:00Z
28047.833333333332,2017-01-21T08:00:00Z
31103.5,2017-01-21T09:00:00Z
33933.833333333336,2017-01-21T10:00:00Z
34740.333333333336,2017-01-21T11:00:00Z
34424.833333333336,2017-01-21T12:00:00Z
34320.5,2017-01-21T13:00:00Z
33382.833333333336,2017-01-21T14:00:00Z
32012.666666666668,2017-01-21T15:00:00Z
31103.666666666668,2017-01-21T16:00:00Z
31053.5,2017-01-21T17:00:00Z
32425.666666666668,2017-01-21T18:00:00Z
33975,2017-01-21T19:00:00Z
34691.833333333336,2017-01-21T20:00:00Z
34678.333333333336,2017-01-21T21:00:00Z
33131.5,2017-01-21T22:00:00Z
30829.666666666668,2017-01-21T23:00:00Z
28408.333333333332,2017-01-22T00:00:00Z
25917.333333333332,2017-01-22T01:00:00Z
24188.833333333332,2017-01-22T02:00:00Z
23145.5,2017-01-22T03:00:00Z
22596,2017-01-22T04:00:00Z
22656.5,2017-01-22T05:00:00Z
22937.5,2017-01-22T06:00:00Z
23704.666666666668,2017-01-22T07:00:00Z
24411.166666666668,2017-01-22T08:00:00Z
26357.833333333332,2017-01-22T09:00:00Z
29002.5,2017-01-22T10:00:00Z
30194.166666666668,2017-01-22T11:00:00Z
30196,2017-01-22T12:00:00Z
30588.666666666668,2017-01-22T13:00:00Z
30514.833333333332,2017-01-22T14:00:00Z
29390.5,2017-01-22T15:00:00Z
28644.333333333332,2017-01-22T16:00:00Z
28354.333333333332,2017-01-22T17:00:00Z
30269,2017-01-22T18:00:00Z
32603,2017-01-22T19:00:00Z
33783.166666666664,2017-01-22T20:00:00Z
